               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095852,            0.023701,            0.042501,            0.046669,             0.23447,             0.04102,            0.010908,             0.07914,            0.016554,            0.026298,              0.0028,              0.0028,              0.0748
                   1,            0.068491,            0.025492,            0.024964,             0.62267,             0.16304,             0.11458,            0.031501,            0.070613,            0.015696,            0.014444,           0.0056436,           0.0056436,            0.048644
                   2,            0.063285,            0.022702,            0.020131,             0.21305,             0.23447,             0.14227,            0.050185,            0.060004,            0.012777,            0.015863,           0.0084297,           0.0084297,             0.02243
                   3,              0.0635,            0.022399,            0.016881,             0.67946,             0.15214,             0.13612,            0.054505,            0.061059,            0.012678,           0.0099269,            0.009703,            0.009703,            0.009703
                   4,            0.054997,            0.023044,            0.015672,             0.68542,             0.17391,             0.13892,            0.056374,             0.05981,            0.012602,            0.010202,            0.009703,            0.009703,            0.009703
                   5,            0.053332,            0.021753,            0.014146,             0.67626,             0.18349,              0.1456,            0.064274,            0.066644,            0.013075,           0.0052257,            0.009604,            0.009604,            0.009604
                   6,             0.04863,            0.022534,            0.012026,             0.27968,             0.70391,             0.32732,             0.14536,             0.05853,            0.012638,           0.0057111,            0.009505,            0.009505,            0.009505
                   7,            0.046272,            0.020997,            0.010037,             0.73924,             0.28787,             0.32024,             0.17449,            0.048085,            0.011878,           0.0042647,            0.009406,            0.009406,            0.009406
                   8,             0.04552,            0.020891,            0.010032,             0.29293,             0.56712,               0.245,             0.12931,            0.052256,            0.012277,            0.016499,            0.009307,            0.009307,            0.009307
                   9,             0.04455,            0.020507,           0.0087592,             0.55414,             0.59627,             0.59253,             0.35654,            0.044509,            0.011872,           0.0027105,            0.009208,            0.009208,            0.009208
                  10,            0.040911,            0.020465,           0.0082459,             0.60727,              0.3618,             0.32541,             0.19091,            0.041095,            0.012466,            0.012653,            0.009109,            0.009109,            0.009109
                  11,            0.043354,            0.020573,           0.0071472,             0.61756,             0.73913,             0.63694,             0.36654,            0.042246,            0.012503,           0.0040859,             0.00901,             0.00901,             0.00901
                  12,            0.038981,            0.020489,           0.0066077,             0.58377,             0.61801,             0.58312,             0.38279,            0.042346,            0.011774,           0.0020918,            0.008911,            0.008911,            0.008911
                  13,            0.041146,            0.020533,           0.0054602,             0.62811,               0.531,              0.5375,             0.33528,             0.03615,            0.012543,           0.0030222,            0.008812,            0.008812,            0.008812
                  14,            0.039225,            0.020633,           0.0075536,              0.4648,             0.52484,             0.43849,             0.25061,             0.03597,            0.013198,           0.0042356,            0.008713,            0.008713,            0.008713
                  15,            0.037812,            0.020342,           0.0064011,             0.46845,             0.50776,             0.46226,             0.29655,            0.035102,            0.012823,           0.0037048,            0.008614,            0.008614,            0.008614
                  16,            0.037811,             0.01962,            0.004832,             0.37834,             0.68944,             0.42668,             0.28043,            0.035794,            0.013115,           0.0079166,            0.008515,            0.008515,            0.008515
                  17,            0.041061,            0.021308,           0.0059063,             0.48527,             0.44255,              0.4043,             0.22991,            0.043133,            0.013076,            0.002759,            0.008416,            0.008416,            0.008416
                  18,            0.037098,            0.019698,           0.0054359,             0.35245,             0.64596,             0.38163,             0.23476,            0.038231,             0.01307,           0.0092872,            0.008317,            0.008317,            0.008317
                  19,            0.037887,            0.019869,           0.0053533,             0.51821,             0.30124,             0.38197,             0.24369,            0.037087,            0.013725,            0.012096,            0.008218,            0.008218,            0.008218
                  20,            0.038505,            0.018911,           0.0053915,             0.86313,             0.31029,             0.46984,             0.30599,            0.035843,            0.013167,           0.0025597,            0.008119,            0.008119,            0.008119
                  21,            0.034652,            0.019863,           0.0066283,             0.47456,             0.56366,             0.51728,             0.35091,            0.037003,            0.012953,           0.0029293,             0.00802,             0.00802,             0.00802
                  22,            0.035908,            0.019148,           0.0051578,             0.71598,             0.52984,              0.6253,             0.44209,            0.040631,            0.012509,           0.0019388,            0.007921,            0.007921,            0.007921
                  23,            0.034614,            0.019527,           0.0053425,             0.54279,             0.67857,             0.57977,             0.41071,            0.035287,            0.012719,            0.002422,            0.007822,            0.007822,            0.007822
                  24,            0.033605,            0.019117,           0.0047795,             0.52984,             0.59006,              0.5431,             0.37866,            0.035997,            0.011948,           0.0019167,            0.007723,            0.007723,            0.007723
                  25,             0.03286,            0.019053,           0.0039195,             0.55395,             0.65139,             0.58823,             0.37509,            0.034275,             0.01208,           0.0013367,            0.007624,            0.007624,            0.007624
                  26,             0.03221,            0.019248,           0.0033658,              0.5214,             0.59678,             0.53105,             0.35775,            0.034398,            0.011925,           0.0012898,            0.007525,            0.007525,            0.007525
                  27,            0.033016,            0.017432,           0.0034808,             0.42514,             0.73292,             0.60259,             0.39546,            0.036366,            0.011622,           0.0021363,            0.007426,            0.007426,            0.007426
                  28,            0.031589,            0.017878,           0.0039401,              0.5681,             0.45959,             0.58377,             0.36315,            0.039162,            0.012286,           0.0038512,            0.007327,            0.007327,            0.007327
                  29,            0.030978,            0.017941,           0.0046137,             0.92585,             0.37259,             0.58822,             0.37979,            0.036577,            0.012134,            0.001877,            0.007228,            0.007228,            0.007228
                  30,             0.03328,            0.018521,            0.002624,             0.58646,             0.49208,             0.53639,             0.38947,            0.033675,            0.011685,            0.001724,            0.007129,            0.007129,            0.007129
                  31,            0.033862,            0.017386,           0.0038026,             0.53272,             0.56366,             0.55722,             0.41793,              0.0348,            0.012401,           0.0018761,             0.00703,             0.00703,             0.00703
                  32,             0.03162,            0.017261,           0.0033118,             0.62569,             0.51398,              0.4814,             0.31963,            0.043424,            0.013527,            0.001658,            0.006931,            0.006931,            0.006931
                  33,            0.031856,            0.018238,           0.0037396,             0.83316,             0.42081,             0.56412,             0.41023,            0.037809,            0.012584,           0.0018696,            0.006832,            0.006832,            0.006832
                  34,            0.031415,            0.018083,           0.0037633,             0.39492,             0.62849,             0.52451,              0.3562,             0.03542,            0.012424,            0.003106,            0.006733,            0.006733,            0.006733
                  35,            0.030716,            0.017252,           0.0041601,             0.44389,             0.81522,             0.60894,             0.41024,            0.030889,            0.012203,            0.001557,            0.006634,            0.006634,            0.006634
                  36,             0.02984,            0.016058,           0.0030516,             0.58271,             0.56832,             0.48691,             0.33193,             0.03593,            0.012278,           0.0013642,            0.006535,            0.006535,            0.006535
                  37,            0.030212,            0.017442,           0.0029605,             0.62894,             0.56366,             0.49767,             0.35065,            0.037718,            0.012531,           0.0015528,            0.006436,            0.006436,            0.006436
                  38,             0.02936,            0.015708,           0.0041142,             0.45478,             0.63968,             0.50658,             0.33071,             0.03432,            0.011775,           0.0014493,            0.006337,            0.006337,            0.006337
                  39,            0.030271,            0.016762,           0.0034152,               0.662,             0.53645,              0.6104,              0.4357,            0.032384,            0.012029,          0.00082934,            0.006238,            0.006238,            0.006238
                  40,            0.028841,            0.016208,           0.0032496,             0.82057,             0.47989,             0.62405,             0.40476,            0.033695,            0.012038,           0.0012124,            0.006139,            0.006139,            0.006139
                  41,            0.027885,            0.016388,           0.0026037,             0.58261,             0.67857,             0.62665,             0.40925,            0.035189,            0.012635,          0.00099522,             0.00604,             0.00604,             0.00604
                  42,            0.029057,            0.015888,           0.0034021,             0.48513,             0.67857,             0.57954,             0.40548,            0.037618,            0.012496,           0.0018966,            0.005941,            0.005941,            0.005941
                  43,            0.028303,            0.016088,           0.0034036,             0.54706,             0.73292,             0.62401,             0.43631,            0.032599,            0.012607,           0.0010172,            0.005842,            0.005842,            0.005842
                  44,             0.02827,            0.016177,           0.0030203,             0.53361,             0.60714,             0.47994,             0.28103,            0.032787,            0.012687,          0.00098862,            0.005743,            0.005743,            0.005743
                  45,            0.027426,            0.016168,           0.0039811,             0.56304,             0.53929,             0.45262,             0.29333,            0.036479,            0.013934,           0.0054685,            0.005644,            0.005644,            0.005644
                  46,            0.027815,            0.015354,           0.0033582,               0.402,             0.53102,             0.27206,             0.17521,            0.034792,            0.014487,            0.015597,            0.005545,            0.005545,            0.005545
                  47,            0.028372,            0.016398,           0.0034713,             0.60559,             0.53477,             0.51648,             0.36093,             0.03463,            0.013557,           0.0015676,            0.005446,            0.005446,            0.005446
                  48,            0.027394,            0.016316,           0.0027025,             0.44662,             0.67236,             0.53474,             0.35379,            0.034523,            0.012386,          0.00084593,            0.005347,            0.005347,            0.005347
                  49,            0.027207,            0.016436,           0.0025964,             0.71586,             0.38199,             0.50527,             0.33106,              0.0364,            0.013094,           0.0009919,            0.005248,            0.005248,            0.005248
                  50,            0.026456,            0.014998,           0.0024472,             0.47999,              0.5785,             0.47453,             0.28471,            0.037292,            0.013846,           0.0012146,            0.005149,            0.005149,            0.005149
                  51,            0.027397,            0.014856,           0.0031422,             0.66886,             0.46429,             0.52869,             0.34847,            0.033989,            0.013175,           0.0016231,             0.00505,             0.00505,             0.00505
                  52,            0.026998,            0.014728,           0.0019446,             0.68462,             0.42081,             0.50523,             0.30741,            0.034071,            0.013387,           0.0022748,            0.004951,            0.004951,            0.004951
                  53,            0.025713,            0.015641,           0.0024699,             0.59771,             0.48437,             0.50142,             0.30747,            0.033593,            0.013403,           0.0013962,            0.004852,            0.004852,            0.004852
                  54,            0.026093,            0.015391,           0.0024038,             0.48146,             0.67857,             0.51119,             0.31409,            0.032997,            0.013358,            0.001765,            0.004753,            0.004753,            0.004753
                  55,            0.026078,            0.015256,           0.0045818,               0.587,             0.54685,             0.56224,             0.39014,            0.032276,            0.013572,           0.0014254,            0.004654,            0.004654,            0.004654
                  56,            0.023882,            0.014503,           0.0026866,             0.65227,             0.55701,             0.48755,              0.3151,            0.033941,            0.013793,           0.0010925,            0.004555,            0.004555,            0.004555
                  57,            0.025346,            0.014432,            0.002163,             0.55476,             0.54656,             0.46996,             0.33047,            0.031063,            0.013261,          0.00080315,            0.004456,            0.004456,            0.004456
                  58,            0.025227,             0.01422,           0.0020326,             0.65685,             0.41615,              0.4555,             0.29975,            0.031741,            0.013125,          0.00084371,            0.004357,            0.004357,            0.004357
                  59,            0.025448,            0.014563,           0.0020675,              0.7153,             0.48137,             0.57174,             0.39671,            0.031302,            0.013279,           0.0012202,            0.004258,            0.004258,            0.004258
                  60,            0.025403,            0.014131,            0.002183,             0.71906,             0.54658,              0.5587,             0.40597,            0.030282,            0.013208,          0.00091375,            0.004159,            0.004159,            0.004159
                  61,            0.023888,            0.014397,           0.0024025,             0.63706,              0.5854,              0.5698,             0.40186,            0.032088,            0.013864,          0.00090997,             0.00406,             0.00406,             0.00406
                  62,            0.024978,             0.01361,           0.0024015,             0.61946,             0.62888,             0.55733,             0.37559,            0.032749,            0.013901,          0.00088205,            0.003961,            0.003961,            0.003961
                  63,             0.02585,            0.014768,           0.0017616,             0.51796,             0.55141,             0.40554,             0.27563,            0.031946,            0.013479,           0.0022219,            0.003862,            0.003862,            0.003862
                  64,             0.02443,            0.014609,           0.0018328,             0.58553,             0.58331,             0.53231,             0.36604,            0.033501,            0.013885,           0.0007747,            0.003763,            0.003763,            0.003763
                  65,            0.023287,            0.013707,           0.0016823,             0.52391,             0.62114,              0.5724,             0.37338,            0.033392,            0.014311,          0.00071854,            0.003664,            0.003664,            0.003664
                  66,            0.023527,            0.013681,           0.0035829,             0.57979,             0.53571,              0.5731,             0.39107,            0.031516,            0.014027,          0.00073564,            0.003565,            0.003565,            0.003565
                  67,            0.023252,            0.014854,           0.0015827,             0.68608,              0.4808,             0.59208,             0.38286,            0.034233,            0.014148,          0.00094942,            0.003466,            0.003466,            0.003466
                  68,            0.022824,            0.013779,           0.0019561,             0.70276,             0.52484,             0.56246,              0.3797,            0.034348,            0.014653,          0.00081461,            0.003367,            0.003367,            0.003367
                  69,            0.022698,             0.01306,           0.0012338,             0.70702,             0.51112,             0.57386,             0.39104,            0.033579,            0.014234,           0.0011974,            0.003268,            0.003268,            0.003268
                  70,            0.021877,             0.01262,           0.0021171,             0.60151,             0.57419,             0.56257,             0.39569,            0.032723,            0.014369,           0.0013199,            0.003169,            0.003169,            0.003169
                  71,            0.022528,            0.014143,           0.0023604,              0.5423,             0.61801,             0.53844,             0.36988,            0.032375,            0.013507,           0.0010811,             0.00307,             0.00307,             0.00307
                  72,             0.02127,            0.013193,           0.0014869,             0.48259,             0.66149,             0.51222,             0.35207,            0.032058,            0.013573,           0.0011843,            0.002971,            0.002971,            0.002971
                  73,            0.021259,             0.01322,           0.0012358,             0.59616,             0.62888,             0.58565,             0.42139,            0.031468,            0.013655,           0.0012019,            0.002872,            0.002872,            0.002872
                  74,            0.021614,            0.012048,           0.0022334,             0.66418,             0.55959,             0.62917,             0.43327,            0.031048,            0.013818,          0.00091613,            0.002773,            0.002773,            0.002773
                  75,            0.022151,            0.012928,           0.0015699,              0.4096,             0.76458,             0.54149,             0.35675,            0.031597,            0.014229,          0.00076917,            0.002674,            0.002674,            0.002674
                  76,            0.022176,            0.012515,           0.0035903,             0.53505,             0.52444,             0.53944,             0.37024,            0.034348,            0.014244,          0.00073564,            0.002575,            0.002575,            0.002575
                  77,            0.021193,            0.013595,           0.0020139,             0.68976,              0.5104,             0.58276,             0.41072,            0.034132,             0.01427,          0.00066526,            0.002476,            0.002476,            0.002476
                  78,            0.021246,            0.012208,              0.0012,             0.61277,             0.55358,             0.60675,              0.4122,            0.032786,            0.014333,           0.0010208,            0.002377,            0.002377,            0.002377
                  79,            0.021385,            0.012874,           0.0016559,             0.55574,              0.5528,             0.58375,             0.39005,            0.030688,            0.014355,             0.00168,            0.002278,            0.002278,            0.002278
                  80,              0.0197,             0.01272,           0.0027066,             0.63744,             0.54159,             0.58006,             0.39958,            0.031215,            0.014068,           0.0014433,            0.002179,            0.002179,            0.002179
                  81,             0.02045,            0.012213,            0.001929,             0.83724,             0.56366,             0.65658,             0.45668,            0.032446,            0.013891,           0.0010228,             0.00208,             0.00208,             0.00208
                  82,             0.02099,             0.01295,            0.001921,              0.6408,             0.61276,             0.62781,             0.44031,            0.032827,            0.013813,          0.00080316,            0.001981,            0.001981,            0.001981
                  83,            0.019992,            0.011876,           0.0013557,             0.74433,             0.49224,             0.60409,               0.402,            0.033126,            0.014191,          0.00078788,            0.001882,            0.001882,            0.001882
                  84,            0.019725,            0.012329,           0.0017916,             0.84373,             0.48112,             0.61476,             0.41137,            0.032855,            0.014213,          0.00084285,            0.001783,            0.001783,            0.001783
                  85,             0.02062,            0.012521,           0.0011764,             0.48203,             0.65014,             0.54291,             0.36295,               0.032,            0.014342,           0.0009529,            0.001684,            0.001684,            0.001684
                  86,            0.020047,            0.012476,           0.0015714,             0.50522,             0.54658,             0.51808,             0.35318,            0.031857,            0.014102,           0.0011867,            0.001585,            0.001585,            0.001585
                  87,            0.020665,            0.012238,           0.0011288,             0.62398,             0.51362,             0.58535,             0.40258,             0.03151,            0.013988,          0.00097519,            0.001486,            0.001486,            0.001486
                  88,            0.018781,            0.012207,           0.0014423,             0.74459,             0.45348,             0.57834,             0.39021,            0.031515,            0.014341,          0.00090191,            0.001387,            0.001387,            0.001387
                  89,            0.020461,            0.011728,           0.0015977,              0.8555,             0.44876,             0.59925,             0.39924,             0.03163,            0.014609,          0.00098294,            0.001288,            0.001288,            0.001288
                  90,             0.01799,             0.01134,           0.0014753,             0.47308,             0.63979,             0.55885,             0.39197,            0.031382,            0.014683,           0.0010476,            0.001189,            0.001189,            0.001189
                  91,            0.019838,            0.011969,           0.0016148,             0.48972,             0.66561,             0.49812,             0.33885,             0.03147,            0.014016,           0.0010879,             0.00109,             0.00109,             0.00109
                  92,             0.01893,            0.011964,           0.0010719,             0.44552,             0.71491,             0.51421,              0.3386,            0.032173,            0.013898,           0.0010329,            0.000991,            0.000991,            0.000991
                  93,            0.018753,            0.011211,            0.002263,             0.48653,             0.68443,              0.5296,             0.35285,            0.032789,            0.013928,           0.0011567,            0.000892,            0.000892,            0.000892
                  94,            0.017799,            0.011754,           0.0010222,             0.46333,             0.66129,             0.52976,             0.36351,            0.033371,            0.014068,           0.0010935,            0.000793,            0.000793,            0.000793
                  95,            0.018622,            0.011802,           0.0030527,             0.54479,             0.53571,             0.51561,             0.35739,            0.033912,            0.014307,            0.001088,            0.000694,            0.000694,            0.000694
                  96,             0.01768,            0.011549,           0.0010742,             0.54782,             0.54656,              0.5264,             0.36252,            0.033701,            0.014208,            0.001134,            0.000595,            0.000595,            0.000595
                  97,            0.018345,            0.011408,          0.00090401,               0.534,              0.5557,             0.52187,             0.36999,            0.033211,            0.014304,           0.0011334,            0.000496,            0.000496,            0.000496
                  98,             0.01869,            0.012018,           0.0010274,             0.49125,             0.65041,             0.54343,             0.36974,            0.032922,            0.014377,           0.0011476,            0.000397,            0.000397,            0.000397
                  99,            0.019501,            0.011245,           0.0010586,             0.64766,             0.51119,             0.54502,             0.37135,             0.03298,             0.01437,           0.0011514,            0.000298,            0.000298,            0.000298
